member_casual,day_of_year,trip_date,avg_ride_len_secs,avg_ride_len,num_rides,daily_rides,part_of_daily_rides,part_of_tot_rides
member,259,2020-09-15,884,00:14:44,10898,16981,0.641776102703021,0.0032723817942909581
casual,260,2020-09-16,1857,00:30:57,6847,17851,0.38356394599742311,0.0020559734029647813
member,260,2020-09-16,883,00:14:43,11004,17851,0.61643605400257684,0.0033042107968781153
casual,261,2020-09-17,1593,00:26:33,5660,15782,0.35863642123938666,0.001699548628710481
member,261,2020-09-17,842,00:14:02,10122,15782,0.64136357876061334,0.0030393694734642206
member,262,2020-09-18,831,00:13:51,9457,15623,0.60532548166165268,0.0028396875232712046
casual,262,2020-09-18,1718,00:28:38,6166,15623,0.39467451833834732,0.0018514870750227608
casual,263,2020-09-19,2101,00:35:01,11802,21690,0.54412171507607188,0.0035438291371097342
member,263,2020-09-19,1011,00:16:51,9888,21690,0.45587828492392807,0.0029691054488850239
casual,264,2020-09-20,2164,00:36:04,10006,19329,0.51766775311707791,0.0030045377347839349
member,264,2020-09-20,986,00:16:26,9323,19329,0.48233224688292203,0.0027994508596232886
casual,265,2020-09-21,1849,00:30:49,5175,14498,0.35694578562560353,0.0015539159281937702
member,265,2020-09-21,889,00:14:49,9323,14498,0.64305421437439647,0.0027994508596232886
casual,266,2020-09-22,1771,00:29:31,5840,16448,0.35505836575875488,0.001753597878386786
member,266,2020-09-22,860,00:14:20,10608,16448,0.64494163424124518,0.003185302447590244
member,267,2020-09-23,857,00:14:17,10815,16886,0.64047139642307238,0.0032474590847179951
casual,267,2020-09-23,1744,00:29:04,6071,16886,0.35952860357692762,0.0018229610821380441
casual,268,2020-09-24,1631,00:27:11,6414,17193,0.37305880300122141,0.0019259549301323365
member,268,2020-09-24,869,00:14:29,10779,17193,0.62694119699877859,0.0032366492347827339
member,269,2020-09-25,896,00:14:56,11254,20607,0.54612510312029894,0.0033792791992063166
casual,269,2020-09-25,1798,00:29:58,9353,20607,0.45387489687970106,0.0028084590679026728
casual,270,2020-09-26,2073,00:34:33,13279,23674,0.56091070372560614,0.0039873332580647484
member,270,2020-09-26,966,00:16:06,10395,23674,0.43908929627439386,0.0031213441688066165
member,271,2020-09-27,981,00:16:21,9109,18774,0.48519228720571,0.0027351923072303484
casual,271,2020-09-27,2048,00:34:08,9665,18774,0.51480771279428994,0.0029021444340082683
casual,272,2020-09-28,1374,00:22:54,2997,9876,0.30346294046172539,0.00089992000711047911
member,272,2020-09-28,776,00:12:56,6879,9876,0.69653705953827461,0.0020655821584627913
casual,273,2020-09-29,1415,00:23:35,3885,12765,0.30434782608695654,0.0011665629721802507
member,273,2020-09-29,794,00:13:14,8880,12765,0.69565217391304346,0.0026664296506977159
casual,274,2020-09-30,1341,00:22:21,3720,12389,0.3002663653240778,0.0011170178266436378
member,274,2020-09-30,773,00:12:53,8669,12389,0.6997336346759222,0.0026030719191327137
casual,275,2020-10-01,1245,00:20:45,2826,9871,0.28629318204842469,0.00084857321991798924
member,275,2020-10-01,754,00:12:34,7045,9871,0.71370681795157531,0.002115427577608717
casual,276,2020-10-02,1533,00:25:33,4569,12677,0.36041650232704897,0.0013719501209502097
member,276,2020-10-02,790,00:13:10,8108,12677,0.639583497672951,0.0024346184243082295
member,277,2020-10-03,889,00:14:49,6743,12853,0.52462460126040611,0.0020247449475962495
casual,277,2020-10-03,1708,00:28:28,6110,12853,0.47537539873959389,0.0018346717529012437
casual,278,2020-10-04,1794,00:29:54,5126,11232,0.45637464387464388,0.0015392025213374428
member,278,2020-10-04,923,00:15:23,6106,11232,0.54362535612535612,0.0018334706584639923
casual,279,2020-10-05,1477,00:24:37,3310,10940,0.30255941499085925,0.00099390564682538731
member,279,2020-10-05,792,00:13:12,7630,10940,0.69744058500914075,0.0022910876390567084
member,280,2020-10-06,841,00:14:01,9522,14110,0.67484053862508864,0.0028592053078765373
casual,280,2020-10-06,1574,00:26:14,4588,14110,0.32515946137491142,0.0013776553195271532
member,281,2020-10-07,860,00:14:20,10140,15417,0.65771550885386265,0.003044774398431851
casual,281,2020-10-07,1610,00:26:50,5277,15417,0.3422844911461374,0.0015845438363436763
casual,282,2020-10-08,1511,00:25:11,4879,14330,0.34047452896022329,0.0014650349398371797
member,282,2020-10-08,827,00:13:47,9451,14330,0.65952547103977666,0.0028378858816153277
member,283,2020-10-09,915,00:15:15,10040,18032,0.55678793256433012,0.0030147470375005707
casual,283,2020-10-09,1887,00:31:27,7992,18032,0.44321206743566993,0.0023997866856279443
casual,284,2020-10-10,2172,00:36:12,12022,21630,0.55580212667591311,0.0036098893311585518
member,284,2020-10-10,975,00:16:15,9608,21630,0.44419787332408689,0.0028850288382774383
casual,285,2020-10-11,2203,00:36:43,8984,17078,0.52605691532966392,0.0026976581060662477
member,285,2020-10-11,972,00:16:12,8094,17078,0.47394308467033608,0.0024304145937778503
casual,286,2020-10-12,1459,00:24:19,2492,8314,0.29973538609574213,0.00074828183440751211
member,286,2020-10-12,767,00:12:47,5822,8314,0.70026461390425787,0.0017481929534191554
member,287,2020-10-13,838,00:13:58,9064,13412,0.67581270504026247,0.0027216799948112718
casual,287,2020-10-13,1600,00:26:40,4348,13412,0.32418729495973753,0.0013055896532920797
casual,288,2020-10-14,1555,00:25:55,4253,13244,0.32112654787073391,0.0012770636604073633
member,288,2020-10-14,833,00:13:53,8991,13244,0.67887345212926609,0.0026997600213314373
casual,289,2020-10-15,1218,00:20:18,3188,10738,0.29688955112683924,0.000957272266489225
member,289,2020-10-15,751,00:12:31,7550,10738,0.70311044887316076,0.0022670657503116838
